Entity,average_probability,bins
a chance,0.1348294405754308,Bin 4 (Highest)
Japan,0.134663172927685,Bin 4 (Highest)
calls,0.1345192604945622,Bin 4 (Highest)
Yugoslavia,0.1342743855198932,Bin 4 (Highest)
inspection,0.1336522732395678,Bin 4 (Highest)
the country,0.1335224564586343,Bin 4 (Highest)
Parks,0.1333754473133012,Bin 4 (Highest)
nations,0.1331354613008442,Bin 4 (Highest)
the risk,0.1322327299203135,Bin 4 (Highest)
land,0.1317379893036558,Bin 4 (Highest)
aim,0.1315190652851015,Bin 4 (Highest)
HIV,0.1310610108543187,Bin 4 (Highest)
royalist,0.1299659533886369,Bin 4 (Highest)
Bohemia,0.1298413347283712,Bin 4 (Highest)
medicine,0.1290628194474265,Bin 4 (Highest)
the foundation,0.1287713746555214,Bin 4 (Highest)
fears,0.1287214504991424,Bin 4 (Highest)
the airport,0.1283326327387793,Bin 4 (Highest)
power,0.1282340819914679,Bin 4 (Highest)
reporters,0.1280830172877358,Bin 4 (Highest)
noon,0.12718499279581,Bin 4 (Highest)
The builders,0.1266795462222975,Bin 4 (Highest)
leaf,0.1265915422351099,Bin 4 (Highest)
the brain,0.1265327294212682,Bin 4 (Highest)
flags,0.1259018156386445,Bin 4 (Highest)
the first book,0.1250739794990694,Bin 4 (Highest)
the project,0.1244857390005206,Bin 4 (Highest)
the beginning,0.1242990702016917,Bin 4 (Highest)
the race,0.1225716946225674,Bin 4 (Highest)
CIA,0.1224285449861781,Bin 4 (Highest)
Tea,0.1213877224945462,Bin 4 (Highest)
Aden,0.1209630970357508,Bin 4 (Highest)
the people,0.1206821900139058,Bin 4 (Highest)
order,0.1206481075423652,Bin 4 (Highest)
sources,0.1206391181558501,Bin 4 (Highest)
Gloucestershire,0.1206044449078035,Bin 4 (Highest)
her work,0.1203554444392062,Bin 4 (Highest)
April,0.1201211383739064,Bin 4 (Highest)
chairman,0.119693738555361,Bin 4 (Highest)
Johannesburg,0.1195308173686498,Bin 4 (Highest)
The report,0.119102180893799,Bin 4 (Highest)
Bush,0.1189814406287041,Bin 4 (Highest)
The tragedy,0.1185209593984072,Bin 4 (Highest)
The World,0.1183853761620767,Bin 4 (Highest)
victory,0.1182493437081575,Bin 4 (Highest)
the edge,0.1176504875265645,Bin 4 (Highest)
its headquarters,0.1166621723196178,Bin 4 (Highest)
the ball,0.1160158353926024,Bin 4 (Highest)
the church,0.1158288294571386,Bin 4 (Highest)
scholars,0.1155068130610743,Bin 4 (Highest)
Boston,0.1141937748241616,Bin 4 (Highest)
Honduras,0.113769257091917,Bin 4 (Highest)
the war,0.1133958952800937,Bin 4 (Highest)
the case,0.1133301408853797,Bin 4 (Highest)
the seeds,0.1127715712340037,Bin 4 (Highest)
The village,0.1127379949921165,Bin 4 (Highest)
a majority,0.1127357504433792,Bin 4 (Highest)
their lives,0.1123540095712564,Bin 4 (Highest)
an agreement,0.1120453632787099,Bin 4 (Highest)
Ethiopia,0.1116299628629348,Bin 4 (Highest)
equal access,0.1105520433224199,Bin 4 (Highest)
the left,0.1105112127957525,Bin 4 (Highest)
the team,0.1100936643347983,Bin 4 (Highest)
a punch,0.1100548221738763,Bin 4 (Highest)
a party,0.1097202048414333,Bin 4 (Highest)
Empress,0.1090433258896154,Bin 4 (Highest)
CEO,0.1080120263024582,Bin 4 (Highest)
the finals,0.1075207505551664,Bin 4 (Highest)
the other hand,0.1073109845731081,Bin 4 (Highest)
her hand,0.1069877959813997,Bin 4 (Highest)
Babylon,0.1055652191775152,Bin 4 (Highest)
Emerson,0.1048100506181071,Bin 4 (Highest)
Penn,0.1041877972072597,Bin 4 (Highest)
moves,0.1040032479553701,Bin 4 (Highest)
The commission,0.1040000512094339,Bin 4 (Highest)
Colombo,0.1032618514553177,Bin 4 (Highest)
themselves,0.103026543391752,Bin 4 (Highest)
The Company,0.1029606109944309,Bin 4 (Highest)
the City Government,0.1029598886172151,Bin 4 (Highest)
the incident,0.1024387643120822,Bin 4 (Highest)
a way,0.1020326463707512,Bin 4 (Highest)
the lower house,0.1012704034320056,Bin 4 (Highest)
the money,0.1006888529066337,Bin 4 (Highest)
Friday,0.1001893340875539,Bin 4 (Highest)
Barrow,0.0987339130797408,Bin 4 (Highest)
a view,0.0985266663139145,Bin 4 (Highest)
the NBA record,0.098006305028464,Bin 4 (Highest)
Ireland,0.0977207879688648,Bin 4 (Highest)
The island,0.0974455184832581,Bin 4 (Highest)
Oakland,0.0972136190059245,Bin 4 (Highest)
tonight,0.0970325755188241,Bin 4 (Highest)
the votes,0.0968602055142348,Bin 4 (Highest)
Saudi Arabia,0.096695069179579,Bin 4 (Highest)
a job,0.0962102333856715,Bin 4 (Highest)
the Scottish Government,0.0958932830458178,Bin 4 (Highest)
Maharashtra,0.095655672403518,Bin 4 (Highest)
colour,0.0954916525864973,Bin 4 (Highest)
the attack,0.0952312923924031,Bin 4 (Highest)
the installation,0.0948762828310263,Bin 4 (Highest)
the climax,0.0946726491849043,Bin 4 (Highest)
Frame,0.0944389684067573,Bin 4 (Highest)
rain,0.0944149524206295,Bin 4 (Highest)
the Antarctic,0.0938074461466938,Bin 4 (Highest)
its failure,0.0934602833916585,Bin 4 (Highest)
The dollar,0.0933082155070496,Bin 4 (Highest)
The station,0.0924336765758405,Bin 4 (Highest)
Hanoi,0.0923138423997442,Bin 4 (Highest)
promotion,0.0922176191212201,Bin 4 (Highest)
opinion,0.0895586592319886,Bin 4 (Highest)
Spencer,0.0891982461773295,Bin 4 (Highest)
the morning,0.0888831499453539,Bin 4 (Highest)
the poll,0.0887541046855207,Bin 4 (Highest)
a new phase,0.0887266127157515,Bin 4 (Highest)
football,0.0882908015046268,Bin 4 (Highest)
himself,0.0873552283941534,Bin 4 (Highest)
the bishop,0.0872676844657557,Bin 4 (Highest)
addition,0.0872164070442522,Bin 4 (Highest)
The decline,0.0872082757490921,Bin 4 (Highest)
Afghanistan,0.0871332740643992,Bin 4 (Highest)
things,0.0870374545338563,Bin 4 (Highest)
Australian dollar,0.0869436261489006,Bin 4 (Highest)
the community,0.0867527403918277,Bin 4 (Highest)
England,0.0866509195853722,Bin 4 (Highest)
The islands,0.0858135765656867,Bin 4 (Highest)
Monday,0.0857926182659866,Bin 4 (Highest)
heart attack,0.0853774588554044,Bin 4 (Highest)
the President,0.0853297148473121,Bin 4 (Highest)
His parents,0.0849020536643353,Bin 4 (Highest)
Tuscany,0.0840858867741189,Bin 4 (Highest)
rice,0.0832947947405045,Bin 4 (Highest)
today,0.082984832272632,Bin 4 (Highest)
the European Commission,0.082875981728467,Bin 4 (Highest)
The Earth,0.080608388717415,Bin 4 (Highest)
short track,0.080594882143267,Bin 4 (Highest)
Pretoria,0.0804719814829922,Bin 4 (Highest)
the same time,0.0801076539984162,Bin 4 (Highest)
the bill,0.0797065657846385,Bin 4 (Highest)
the visitors,0.079628469929658,Bin 4 (Highest)
any attempt,0.0788464660888313,Bin 4 (Highest)
her campaign,0.0787656243194957,Bin 4 (Highest)
The spacecraft,0.0777533627364711,Bin 4 (Highest)
France,0.0771512412233277,Bin 4 (Highest)
the achievements,0.0767474526363767,Bin 4 (Highest)
The site,0.0765693678217341,Bin 4 (Highest)
Bradford,0.0764625235824496,Bin 4 (Highest)
no time,0.0749045732100537,Bin 4 (Highest)
policy,0.0742706618257215,Bin 4 (Highest)
his long career,0.0742452396394014,Bin 4 (Highest)
Huddersfield,0.0741732438153121,Bin 4 (Highest)
spots,0.0741214322712039,Bin 4 (Highest)
a question,0.074096046007317,Bin 4 (Highest)
the economy,0.0739350356078784,Bin 4 (Highest)
A friend,0.0737491580147807,Bin 4 (Highest)
magazines,0.0737223674717824,Bin 4 (Highest)
director,0.0736449009738862,Bin 4 (Highest)
the works,0.0733822464901618,Bin 4 (Highest)
The solution,0.073230349748092,Bin 4 (Highest)
September,0.0731692902860231,Bin 4 (Highest)
The battalion,0.0729494648998078,Bin 4 (Highest)
River Krishna,0.0725001480997248,Bin 4 (Highest)
the mayor,0.0724348825103152,Bin 4 (Highest)
profits,0.0724316947394981,Bin 4 (Highest)
the concept,0.0722913611921833,Bin 4 (Highest)
Infants,0.072259721456794,Bin 4 (Highest)
print,0.0721414324827492,Bin 4 (Highest)
comment,0.0712487909724586,Bin 4 (Highest)
prime minister,0.0710990266629873,Bin 4 (Highest)
Hayward,0.0708783110417243,Bin 4 (Highest)
the region,0.0703081640329557,Bin 4 (Highest)
the FA Cup,0.0696223332846995,Bin 4 (Highest)
the city,0.0695068009012651,Bin 4 (Highest)
systems,0.0688811205793171,Bin 4 (Highest)
shareholders,0.0675171813487394,Bin 4 (Highest)
The debt,0.0674184998767949,Bin 4 (Highest)
prominence,0.06731187060941,Bin 4 (Highest)
his second wife,0.0668999397927455,Bin 4 (Highest)
December,0.0668918280862271,Bin 4 (Highest)
this problem,0.0662881234806037,Bin 4 (Highest)
fools,0.0657320782314172,Bin 4 (Highest)
